aX,aY,aZ,gX,gY,gZ
1.495,-0.539,-0.064,20.386,-267.700,-63.660
2.289,-1.474,0.353,7.935,-276.489,-84.534
2.790,-1.959,0.722,-10.742,-264.160,-90.881
3.270,-2.189,1.171,-23.804,-235.046,-77.332
3.763,-2.132,1.649,-24.109,-203.308,-56.152
4.000,-1.852,2.062,-14.465,-163.513,-31.921
4.000,-1.467,2.325,4.944,-121.765,-15.137
4.000,-0.966,2.345,26.611,-88.562,-18.250
4.000,-0.627,2.068,45.227,-37.476,-65.002
4.000,-0.270,1.271,66.589,-16.174,-82.458
3.832,-0.075,0.999,74.036,6.165,-86.731
3.492,0.064,0.791,79.956,27.710,-82.642
3.189,0.217,0.618,81.177,49.072,-74.280
2.885,0.349,0.475,75.562,75.317,-60.852
2.609,0.401,0.329,65.735,104.919,-43.945
2.355,0.458,0.226,51.758,131.653,-25.940
2.170,0.523,0.088,36.499,157.654,-7.996
2.084,0.585,0.025,24.841,185.181,8.240
2.061,0.670,-0.023,16.785,210.327,20.752
2.148,0.745,-0.052,9.277,233.093,30.029
2.240,0.854,-0.075,-2.625,249.451,43.823
2.336,0.999,-0.205,-44.373,270.630,41.443
2.317,0.977,-0.218,-68.054,278.687,33.264
2.226,0.939,-0.278,-91.736,279.297,23.987
2.112,0.834,-0.368,-111.938,273.071,10.986
2.029,0.653,-0.482,-123.413,264.465,-3.174
1.983,0.481,-0.614,-131.287,253.113,-14.221
2.015,0.391,-0.740,-142.029,241.455,-18.982
2.049,0.448,-0.905,-154.358,232.544,-18.616
1.995,0.602,-1.085,-169.128,229.492,-21.729
1.772,0.776,-1.296,-192.078,226.257,-35.706
1.430,0.872,-1.514,-219.788,210.937,-63.599
1.001,0.843,-1.691,-249.146,172.607,-102.966
0.507,0.781,-1.763,-283.081,98.083,-144.165
-0.120,0.706,-1.506,-313.599,-9.460,-182.922
-0.747,0.576,-0.745,-325.684,-136.292,-217.834
-1.197,0.327,0.293,-285.583,-265.137,-257.690
-1.552,-0.148,1.486,-186.829,-361.511,-308.716
-1.663,-0.726,2.749,-77.759,-372.742,-352.295
-1.747,-1.105,3.256,-26.794,-269.287,-341.370
-1.880,-1.147,2.888,-62.622,-62.988,-239.441
-2.259,-0.960,2.307,-154.602,156.677,-82.764
-2.639,-1.064,1.464,-300.171,233.459,74.402
-2.330,-1.296,1.048,-266.357,115.356,72.510
-1.887,-1.248,1.309,-177.612,-33.508,47.119
-1.335,-1.310,1.783,-86.304,-140.442,27.588
-0.653,-1.163,1.874,-9.277,-173.035,30.579
-0.219,-0.775,1.637,56.763,-152.405,35.156
-0.036,-0.364,1.173,88.562,-102.417,36.255
0.135,-0.222,0.718,70.068,-24.841,49.683
0.257,-0.291,0.314,23.743,41.931,69.397
0.367,-0.386,-0.017,-11.841,74.707,82.642
0.515,-0.382,-0.214,-17.090,80.627,85.083
0.653,-0.281,-0.313,-0.977,65.186,74.097
0.744,-0.216,-0.386,22.583,36.926,50.659
0.780,-0.225,-0.435,42.847,9.094,22.888
0.833,-0.250,-0.450,53.589,-8.484,1.770
0.874,-0.254,-0.405,52.063,-17.029,-7.324
0.899,-0.282,-0.343,39.917,-17.395,-8.667
0.896,-0.372,-0.295,25.024,-12.512,-8.972
0.851,-0.463,-0.251,11.292,-6.592,-7.141
0.797,-0.527,-0.180,1.587,-2.502,-3.662
0.767,-0.563,-0.127,-2.747,-1.343,1.770
0.775,-0.609,-0.073,-1.526,-3.662,3.845
0.789,-0.633,-0.052,-1.404,-5.737,5.371
0.802,-0.657,-0.024,-2.258,-6.836,7.385
0.833,-0.669,0.001,-4.395,-6.714,10.986
0.862,-0.651,0.036,-6.653,-5.249,16.357
0.889,-0.621,0.068,-9.277,-2.563,21.606
0.911,-0.600,0.088,-12.085,0.610,25.330
0.920,-0.586,0.100,-13.855,3.235,26.550
0.921,-0.582,0.092,-14.648,4.944,26.245
0.911,-0.582,0.084,-13.550,5.371,24.414
0.901,-0.582,0.070,-10.742,5.188,21.545
0.900,-0.571,0.063,-7.568,3.662,19.165
0.906,-0.509,0.064,-5.798,-0.488,15.991
0.910,-0.519,0.061,-5.066,-1.343,13.062
0.894,-0.525,0.065,-5.127,-2.258,10.559
0.868,-0.543,0.068,-5.432,-2.502,8.240
0.842,-0.567,0.079,-4.028,-2.441,5.798
0.823,-0.583,0.087,-1.953,-2.502,4.456
0.809,-0.583,0.089,-0.183,-1.648,5.066
0.808,-0.572,0.089,1.099,0.000,7.019
0.802,-0.557,0.087,1.282,1.770,8.972
0.810,-0.558,0.076,0.671,3.601,9.583
0.816,-0.566,0.067,0.671,4.272,9.949
0.809,-0.565,0.051,1.953,4.700,9.583
0.799,-0.566,0.034,4.150,3.479,7.385
0.793,-0.559,0.019,6.042,1.526,7.019
0.794,-0.555,0.021,6.165,-0.122,7.080
0.799,-0.557,0.028,5.493,-1.038,7.446
0.806,-0.564,0.032,4.700,-1.404,7.812
0.807,-0.571,0.034,4.089,-0.671,8.423
0.806,-0.572,0.035,4.333,0.122,8.972
0.806,-0.567,0.035,4.944,0.366,9.216
0.811,-0.555,0.037,5.554,0.305,9.583
0.819,-0.546,0.049,5.615,0.305,10.010
0.828,-0.537,0.063,5.493,0.549,10.193
0.832,-0.529,0.075,5.127,0.610,10.315
0.829,-0.530,0.091,5.188,1.038,9.949
0.823,-0.543,0.103,5.676,1.160,8.972
0.812,-0.558,0.106,7.141,1.221,7.568
0.797,-0.573,0.104,9.094,1.465,6.836
0.782,-0.578,0.102,10.559,1.831,6.958
0.778,-0.579,0.099,11.353,1.709,7.629
0.778,-0.580,0.101,11.475,2.075,9.094
-1.332,1.238,0.807,-5.188,-11.169,-110.107
-1.405,1.304,0.856,-1.770,-12.268,-114.624
-1.439,1.287,0.827,4.517,-11.963,-119.141
-1.501,1.252,0.750,12.085,-2.502,-124.023
-1.478,1.210,0.561,17.639,9.583,-130.310
-1.244,1.081,0.302,16.968,9.155,-135.315
-1.065,0.926,0.101,6.714,-8.545,-133.850
-1.012,0.759,-0.210,-5.920,-60.486,-131.348
-0.616,0.101,-0.680,-41.016,-106.201,-126.282
-0.265,-0.354,-0.764,-65.369,-147.400,-113.098
0.273,-1.062,-0.841,-77.515,-201.294,-105.591
0.691,-1.827,-0.857,-81.482,-264.832,-111.389
1.005,-2.319,-0.607,-78.735,-318.237,-125.488
1.470,-2.674,-0.058,-72.205,-345.276,-126.282
2.008,-2.742,0.713,-75.134,-336.670,-101.257
2.651,-2.648,1.623,-92.773,-213.135,-24.414
3.902,-2.299,2.820,-94.177,-137.146,6.042
4.000,-2.058,2.817,-88.928,-75.317,25.757
4.000,-1.827,2.567,-70.435,-26.855,26.855
3.998,-1.659,2.213,-33.142,0.671,11.597
3.779,-1.419,1.760,13.916,1.099,-12.756
3.586,-1.183,1.289,58.350,-7.568,-36.011
3.405,-0.971,0.952,88.501,-10.315,-44.312
3.262,-0.737,0.720,103.455,6.165,-37.476
3.063,-0.468,0.536,107.361,43.152,-21.240
2.827,-0.238,0.383,97.656,93.506,2.686
2.618,-0.060,0.200,76.172,186.951,40.344
2.353,0.204,0.046,51.819,194.580,41.443
2.314,0.329,0.011,60.425,205.505,33.997
2.292,0.460,-0.055,67.383,210.815,25.208
2.301,0.544,-0.146,64.087,221.863,22.217
2.324,0.621,-0.226,47.974,240.173,28.015
2.321,0.703,-0.265,20.203,262.207,38.208
2.265,0.712,-0.290,-15.198,283.875,43.640
2.155,0.641,-0.328,-52.246,297.852,40.222
2.039,0.494,-0.406,-81.543,298.157,27.161
1.946,0.325,-0.518,-93.140,283.569,8.118
1.920,0.204,-0.573,-92.346,261.536,-8.667
1.932,0.156,-0.536,-97.412,238.708,-19.531
1.928,0.169,-0.424,-118.164,219.055,-23.987
1.842,0.215,-0.326,-149.353,204.712,-27.954
1.671,0.238,-0.276,-181.213,191.101,-53.833
1.111,0.144,-0.349,-208.801,138.977,-99.792
0.773,0.014,-0.415,-193.848,98.267,-151.794
0.414,-0.096,-0.497,-168.518,49.072,-209.106
0.127,-0.291,-0.570,-143.311,-4.578,-258.911
-0.250,-0.472,-0.524,-128.540,-56.396,-289.185
-0.685,-0.499,-0.419,-132.324,-101.074,-298.645
-1.368,-0.355,0.114,-137.146,-151.917,-287.903
-1.354,-0.504,1.030,-129.333,-174.011,-264.893
-1.827,-0.812,1.319,-131.714,-218.201,-231.812
-1.946,-0.931,1.497,-116.333,-177.551,-196.777
-1.922,-0.936,1.589,-77.026,-60.120,-152.527
-2.002,-0.839,1.515,-64.819,57.129,-87.463
-2.097,-0.710,1.377,-94.238,128.479,-20.996
-2.129,-0.733,1.288,-135.986,144.592,25.940
-2.066,-0.833,1.198,-164.062,112.793,53.894
-1.837,-0.944,1.292,-161.072,60.852,69.824
-1.538,-0.988,1.391,-129.578,5.005,78.552
-1.266,-0.925,1.379,-87.524,-37.598,82.214
-0.997,-0.859,1.303,-47.913,-56.641,85.571
-0.691,-0.842,1.195,-17.151,-52.734,91.614
-0.364,-0.801,1.002,21.973,3.479,112.427
0.185,-0.629,0.474,42.908,33.875,121.826
0.365,-0.448,0.205,49.255,60.120,133.850
0.560,-0.342,-0.086,51.575,79.590,138.428
0.703,-0.298,-0.322,51.941,87.097,132.568
0.813,-0.268,-0.489,46.448,85.327,121.033
0.899,-0.221,-0.604,37.537,75.073,103.699
0.959,-0.225,-0.649,28.442,56.458,82.642
0.979,-0.257,-0.645,19.531,32.593,61.462
0.981,-0.303,-0.596,13.184,8.423,41.077
0.969,-0.360,-0.509,10.803,-11.902,21.423
0.947,-0.439,-0.398,10.437,-27.954,4.211
0.915,-0.511,-0.288,10.071,-37.354,-6.714
0.886,-0.586,-0.180,9.705,-38.818,-11.841
0.854,-0.655,-0.083,9.155,-34.668,-11.169
0.825,-0.715,-0.010,8.606,-27.832,-7.385
0.804,-0.775,0.045,8.728,-19.470,-0.488
0.776,-0.790,0.079,8.606,-10.986,7.874
0.747,-0.790,0.103,8.667,-3.723,15.320
0.721,-0.772,0.124,6.714,1.282,22.156
0.712,-0.759,0.146,3.235,4.761,28.442
0.717,-0.741,0.167,0.244,7.080,33.813
0.736,-0.722,0.186,-1.953,8.972,38.513
0.761,-0.699,0.203,-2.319,10.559,41.504
0.790,-0.676,0.209,-0.671,12.024,42.480
0.805,-0.655,0.195,2.258,13.367,40.466
0.807,-0.652,0.168,6.592,14.465,36.072
0.794,-0.653,0.128,11.230,14.771,31.128
0.784,-0.653,0.085,15.686,14.526,27.222
0.786,-0.644,0.048,19.043,13.733,25.696
0.793,-0.623,0.028,20.264,13.306,26.733
0.803,-0.600,0.016,18.555,13.489,29.236
0.809,-0.589,0.011,15.442,15.625,31.494
0.801,-0.591,-0.003,12.878,18.188,31.677
0.776,-0.600,-0.023,12.024,19.836,30.029
0.754,-0.608,-0.045,12.939,19.287,28.015
0.747,-0.604,-0.060,14.771,16.724,26.428
0.757,-0.598,-0.071,16.235,12.939,25.696
0.775,-0.584,-0.068,16.113,9.399,26.001
0.791,-0.569,-0.055,13.916,8.240,27.527
0.809,-0.558,-0.046,10.071,8.850,29.297
0.821,-0.554,-0.047,6.531,10.437,30.334
0.818,-0.554,-0.044,4.333,12.390,30.579
0.821,-0.557,-0.038,4.700,13.733,29.907
0.828,-0.551,-0.035,7.812,13.062,27.954
0.832,-0.540,-0.038,12.268,10.864,24.658
0.830,-0.533,-0.038,15.808,8.850,21.118
0.823,-0.537,-0.039,16.907,7.874,18.616
0.813,-0.551,-0.045,15.564,8.240,18.127
0.816,-0.567,-0.051,13.123,9.583,18.921
0.813,-0.575,-0.050,10.986,10.986,20.142
0.817,-0.575,-0.048,10.010,11.292,21.729
0.833,-0.565,-0.045,10.071,10.010,22.644
0.847,-0.552,-0.043,10.986,8.362,22.949
0.864,-0.542,-0.042,12.085,7.080,22.156
0.875,-0.533,-0.045,13.367,6.165,20.874
0.885,-0.533,-0.055,14.465,5.981,19.470
-1.392,0.590,0.513,-44.189,-5.249,-17.151
-1.340,0.549,0.456,-27.405,-15.747,-14.771
-1.247,0.499,0.364,-7.385,-30.273,-15.747
-1.057,0.379,0.270,9.949,-45.349,-19.592
-0.898,0.241,0.166,23.315,-63.110,-27.649
-0.748,0.032,0.098,29.968,-87.280,-35.400
-0.416,-0.193,-0.079,29.785,-109.741,-36.438
-0.072,-0.453,-0.242,39.734,-134.766,-29.297
0.229,-0.574,-0.300,52.551,-168.213,-19.897
0.643,-0.649,-0.352,57.129,-204.895,-10.864
1.023,-0.734,-0.299,59.570,-240.234,-6.042
1.375,-0.765,-0.111,56.763,-271.851,-9.094
1.864,-0.900,0.079,50.049,-298.645,-23.315
2.374,-1.133,0.344,46.997,-317.444,-44.678
2.806,-1.246,0.704,44.983,-322.205,-60.547
3.159,-1.166,1.111,38.086,-309.631,-67.932
3.415,-1.003,1.563,27.039,-277.039,-69.519
3.654,-0.850,1.948,13.672,-227.173,-66.162
3.807,-0.699,2.113,6.409,-171.814,-69.275
3.792,-0.581,2.136,6.958,-124.146,-80.322
3.620,-0.466,1.975,26.001,-62.256,-110.474
3.182,-0.344,1.538,42.542,-43.091,-121.460
3.032,-0.269,1.361,56.946,-28.015,-121.521
2.955,-0.171,1.303,67.871,-7.385,-112.732
2.905,-0.118,1.234,73.120,14.709,-101.624
2.888,-0.048,1.163,70.374,39.185,-86.792
2.853,0.079,1.068,65.918,72.571,-67.017
2.851,0.191,0.974,62.927,116.394,-45.410
2.828,0.339,0.809,57.251,159.546,-23.926
2.839,0.457,0.690,49.866,209.473,-3.174
2.861,0.590,0.601,39.795,259.399,15.320
2.893,0.730,0.508,25.452,303.406,31.555
2.858,0.887,0.386,5.371,338.745,40.344
2.709,0.966,0.270,-22.766,365.845,36.682
2.505,0.917,0.107,-57.678,381.775,20.874
2.290,0.750,-0.087,-89.966,381.348,-1.343
2.093,0.492,-0.252,-110.840,364.441,-25.146
1.935,0.342,-0.341,-119.019,337.585,-47.180
