aX,aY,aZ,gX,gY,gZ
2.358,0.221,0.848,4.395,123.474,134.705
2.331,0.186,0.850,0.671,121.887,118.469
2.310,0.153,0.837,2.441,118.469,102.417
2.271,0.108,0.806,7.751,117.859,85.144
2.193,0.051,0.751,12.634,122.314,65.613
2.074,0.004,0.702,16.846,130.554,45.410
1.943,-0.033,0.653,19.043,141.663,27.649
1.809,-0.079,0.593,18.677,151.917,14.160
1.675,-0.113,0.555,17.456,159.851,4.517
1.547,-0.137,0.548,15.320,166.260,-1.953
1.426,-0.168,0.543,11.597,171.631,-7.812
1.324,-0.195,0.524,7.324,175.598,-14.526
1.233,-0.204,0.492,5.737,175.964,-21.790
1.144,-0.209,0.443,6.226,171.875,-30.090
1.063,-0.189,0.393,7.812,164.368,-40.039
0.992,-0.163,0.339,9.827,155.762,-51.514
0.906,-0.138,0.278,10.742,146.790,-64.209
0.821,-0.092,0.222,11.536,136.902,-76.965
0.740,-0.036,0.181,13.672,125.977,-89.478
0.659,0.013,0.153,15.076,114.563,-101.318
